objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,142799.11086237375,771136.3191535892,127098.91274546587,774585.083005327
ForceBalance,max_abs,27782.058997990513,168225.11586964264,23160.181298658692,168126.27285900412
ForceBalance,mean_abs,4388.640932856352,23971.771282420574,4068.31741249246,24002.674065116214
ForceBalance,rms,5939.659978717298,32075.042381925687,5286.617828456248,32218.492047000684
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,0.4175438634752865,1.368222101081032,0.41358078907491447,1.3719437696307903
QuasisymmetryBoozer,max_abs,0.3869771684269233,0.8161859855951011,0.38529259967441937,0.8169326337466248
QuasisymmetryBoozer,mean_abs,0.004602605459011848,0.02659311462574997,0.004394683323277676,0.02690283707442483
QuasisymmetryBoozer,rms,0.025317315477015975,0.08296065061855322,0.02507701879532604,0.08318630992052665
QuasisymmetryBoozer,status,ok,ok,ok,ok
