objective,metric,C_FXD,C_FREE,T_FXD,T_FREE
ForceBalance,size,578,578,578,578
ForceBalance,l2,142687.85540010678,771136.3191535892,126991.36623564718,774585.083005327
ForceBalance,max_abs,27790.756382461084,168225.11586964264,23166.014753765518,168126.27285900412
ForceBalance,mean_abs,4387.2931660079275,23971.771282420574,4066.0865309071555,24002.674065116214
ForceBalance,rms,5935.032361551827,32075.042381925687,5282.144483374735,32218.492047000684
ForceBalance,status,ok,ok,ok,ok
QuasisymmetryBoozer,size,272,272,272,272
QuasisymmetryBoozer,l2,0.4176256728113429,1.368222101081032,0.4135510968236445,1.3719437696307903
QuasisymmetryBoozer,max_abs,0.38687573187055513,0.8161859855951011,0.38529253892108184,0.8169326337466248
QuasisymmetryBoozer,mean_abs,0.004612460622917473,0.02659311462574997,0.004395060097442151,0.02690283707442483
QuasisymmetryBoozer,rms,0.02532227589662953,0.08296065061855322,0.025075218438145926,0.08318630992052665
QuasisymmetryBoozer,status,ok,ok,ok,ok
